Macroregiao,name,Populacao,Crime/1000hab,Furto/1000hab,Roubo/1000hab,HomDol/1000hab,PosseDrogas/1000hab,Trafico/1000hab,Educacao,Renda,Saúde,PIB,PIB por habitante,regiao
Sul,PEDRAS ALTAS,2024,27.6679841897,25.1976284585,0.9881422925,0,0,0,0.659343505240196,0.666709268958754,0.785891213699618,473548494,112830.5,T2
Sul,PEDRO OSORIO,8078,24.7586036148,17.4548155484,3.2186184699,0.2475860361,1.1141371627,0.2475860361,0.602886469505444,0.512634832974785,0.668208870314639,910148056,62081.52,T2
Sul,PELOTAS,342550,29.9810246679,15.5480951686,8.2528098088,0.1547219384,0.5721792439,0.4641658152,0.654164444377888,0.65402722322301,0.73814782762613,48292259559,83279.42,T2
Sul,PINHEIRO MACHADO,12509,23.0234231353,19.1062435047,1.1991366216,0,0.3997122072,0.4796546487,0.603906240367508,0.571165208887963,0.725209576933909,1739317409,76498.32,T2
Sul,PIRATINI,19627,16.9154735823,13.2470576247,0.7642533245,0,0.3057013298,0.4076017731,0.607677549897139,0.531215530200426,0.754528470342092,2235803977,59467.73,T2
Sul,RIO GRANDE,209223,32.0853825822,17.8326474623,7.3605674328,0.1433876773,0.9989341516,1.519909379,0.647210158250184,0.782121640607082,0.755907155669645,56703831576,160979.96,Female
Sul,SANTA VITORIA DO PALMAR,31866,27.5528776753,22.2494194439,2.1025544467,0.0313814097,0.4079583255,0.5021025544,0.621880905294016,0.628440530366076,0.776378460197549,292725959,81299.45,Female
Sul,SANTANA DA BOA VISTA,8038,12.192087584,10.2015426723,0.7464543419,0.124409057,0.124409057,0,0.64709785360175,0.490545746250593,0.744725723129495,5321104186,90797.89,Female
Sul,SAO JOSE DO NORTE,25870,16.4669501353,10.2821801314,1.2756088133,0.1159644376,2.5898724391,1.1209895632,0.531334945970546,0.556411987621912,0.772957843217545,2215173437,47280.35,Female
Sul,SAO LOURENCO DO SUL,43430,12.5719548699,8.1970987796,0.8058945429,0.0230255584,1.9571724614,0.2532811421,0.595343909934751,0.63786441858434,0.802576093731909,5861887380,77139.52,Female
Sul,TURUCU,3593,9.4628444197,8.3495686056,0.2783189535,0,0,0,0.548289519466072,0.601414369973679,0.78216713917463,644476158,82487.23,Female
Vales,ANTA GORDA,6341,6.9389686169,5.6773379593,0,0,0,0,0.749050046059849,0.704565608564753,0.852933064594797,1090710548,101302.03,Female
Vales,ARROIO DO MEIO,19870,16.9099144439,12.229491696,0.8052340211,0.1006542526,1.3085052843,0.0503271263,0.792109299312837,0.800662316384664,0.863922434306838,6241079160,189543.23,Female
Vales,ARROIO DO TIGRE,12508,11.9123760793,7.7550367765,0.319795331,0.0799488327,0,0.2398464982,0.715165449458133,0.667818189245226,0.794879435384944,2167173958,90805.18,Female
Vales,ARVOREZINHA,10301,11.9405882924,7.4750024269,0.6795456752,0.0970779536,0.2912338608,0.2912338608,0.698431751285946,0.625587168887937,0.865916032552896,1398960727,75307.4,Female
Vales,BARROS CASSAL,11051,8.8679757488,5.4293729074,0.7239163877,0.0904895485,0.2714686454,0.1809790969,0.55107306601452,0.511276264829714,0.768759981132107,1216087439,55800.98,Female
Vales,BOM RETIRO DO SUL,12416,11.0341494845,8.2152061856,0.8859536082,0.0805412371,0.4027061856,0.0805412371,0.747145541184173,0.602328076444455,0.818665725496009,1717127611,76033.27,Female
Vales,BOQUEIRAO DO LEAO,7696,7.7962577963,6.237006237,0.3898128898,0,0,0,0.675178212618512,0.604153060806671,0.819228358642102,897667687,60146.93,Female
